trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-150.94209261391853,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",30,0,-117.48932570780673,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-59.716077965232564,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-124.89672380680248,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",35,18,-33.49746068967873,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8105842459701872}",25,0,-100.5894386854602,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-186.2559829168613,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",25,13,-53.09321534469991,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.7866278610665534}",20,0,-97.39805325651803,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",30,0,-102.07127690468113,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",35,27,0.796737230347601,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7633794943368533}",30,0,-81.29123629743738,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,0,-162.20139566077427,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
